"Story","Title","Result","Date","Stability","Duration (s)"
"Student crud test","Delete the student and verify if the student is deleted!","SUCCESS","2020-05-19T13:47:30.968+01:00","0.0","0.57"
"Student crud test","New Student will be added","SUCCESS","2020-05-19T13:47:19.406+01:00","0.0","9.09"
"Student crud test","Update the user information and verify the updated information","SUCCESS","2020-05-19T13:47:30.029+01:00","0.0","0.94"
"Student crud test","Verify if the student was added to the application","SUCCESS","2020-05-19T13:47:28.543+01:00","0.0","1.48"
